start	end	text
0	10000	我想做一个技能的生命周期管理
10000	11000	迭代的系统
11000	13000	它核心想解决一个问题
13000	17000	就是现在的技能都是静态的
17000	20000	然后我设定了以后就用
20000	22000	其实它没有更新
22000	25000	没有评估
25000	28000	其实应该是先没有评估
28000	30000	没有更新
30000	33000	没有AZ新
33000	37000	没有整个的这种
37000	42000	太换以及备份管理的整个系统
42000	45000	让它可以迭代起来
45000	48000	所以我希望做这样一套系统
48000	49000	这样一套系统
49000	52000	它其实可以分几个部分
52000	53000	第一个是评估系统
53000	56000	评估系统就是对某一个技能的某一个版本
56000	58000	进行Performance评估
58000	61000	那这个就是可以对任意的
61000	63000	比如说N个片段
63000	65000	N个片段就是指的是一个技能
65000	68000	它被激发了以后
68000	72000	它的上吻下吻
72000	74000	上吻下吻
74000	76000	上吻下吻
82000	84000	对上吻下吻
84000	88000	然后N个上吻下吻
88000	93000	以及技能的处理片段
93000	95000	然后对它进行评估
95000	98000	评估的维度包括有没有严重的问题
98000	101000	比如说整个程序应策
101000	103000	包括满一度的问题
103000	104000	我觉得可以简单一点
104000	106000	就是这两个温度
106000	108000	有没有严重的问题满一度
108000	110000	严重问题就是比如说比例
110000	113000	满一度可能也是一个分数
113000	115000	类似于比例吧
115000	120000	所以那评估就大概是这样
120000	123000	那第二个就是
129000	130000	根据评估的结果
130000	132000	我可能需要一个判断
132000	137000	是否需要开发性的技能
137000	141000	或者更新现有的技能
141000	144000	开发性的技能就走到另外一条路了
144000	147000	那开发技能
147000	149000	开发技能也是
149000	150000	如果开发技能
150000	152000	如果需要一个新的技能的话
152000	154000	它可能要开发技能
154000	159000	开发技能就可能要开发一个新的技能
163000	164000	好
164000	165000	那另外一种就是
165000	169000	生产一个现有技能的新的版本
172000	174000	然后生成完了以后
174000	176000	所以这个是生成
176000	179000	就是come up with some ideas
179000	182000	有这个一些想法
182000	183000	OK
183000	186000	然后生成了这个新的技能
186000	189000	或者是这个新的技能
189000	190000	新的版本以后
190000	194000	下一步就进行这个评估
195000	197000	那这个评估呢
197000	200000	我觉得第一步可能是
200000	201000	离线评估
201000	203000	就可能是构造一个
203000	204000	沙盒的环境
204000	206000	让它去测试
206000	209000	满足最基本的一些要求
209000	210000	第二步呢
210000	212000	可能就是ab test
212000	213000	ab test
228000	230000	如果是新的技能
230000	235000	那应该是老的技能和老的技能
235000	236000	ab test
236000	238000	这样ab test
240000	242000	因为它毕竟是多了一个嘛
242000	246000	然后另外一组呢
246000	249000	就是如果是技能的新的版本
249000	250000	那么呢
250000	252000	这个版本呢
252000	255000	就要和老的版本进行对比
255000	256000	新版本和老版本进行对比
257000	258000	然后对比同样是
258000	260000	刚才说到的两个维度
260000	261000	一个是quick
261000	263000	一个是满意度啊
263000	266000	然后这两个
266000	268000	我觉得可能分阶段
268000	270000	就是它这个整个的
270000	272000	在线的评估可能分多个阶段
272000	273000	比如说
273000	277000	前N个请求是密集观察区
277000	280000	那它关键是不能出重大的错误
280000	283000	那再往宽一点就是
288000	292000	这个就是相对的就是
292000	293000	中等观察区
293000	296000	中等观察区可能时间会长一点
296000	301000	然后去分几个阶段进行评估
301000	306000	如果每个阶段评估都通过了
306000	308000	就可以逐渐的在这个过程中
308000	310000	逐渐的放大流量
310000	312000	一直评估一直评估
312000	315000	直到这个评估完整的结束
315000	317000	在整个完整的周期里面
317000	318000	在各项指标新的
318000	320000	要比旧的新的组
320000	321000	要比对照组
321000	324000	要有一个相对明显的提升
324000	326000	比如说5个点啊等等
326000	328000	或者事不利啊
328000	331000	那有这样的一个评估
331000	334000	那就相当于它的上限
334000	336000	就这样的评估
336000	339000	那在后面的阶段
339000	343000	就是下限了一些下限经济
343000	346000	然后这个阶段
353000	355000	有这样的系统
355000	357000	整个的我们的对话过程中
357000	360000	新的技能就应该不断的去产生
363000	366000	被更新
366000	370000	对希望达到一个这样的一个状态
370000	372000	然后最好呢
372000	374000	这个系统呢
374000	377000	要能够和类似OpenCloud这样的系统
377000	379000	通过后装是接入到他们里面
379000	380000	我不知道能不能做到
380000	381000	我觉得这个可以评估一下
381000	383000	但是主要还是先实现
383000	385000	整个的这个流程
